Node ID,Is_Origin,Is_Destination,Origin_SA1,Origin_SA2,Destination_SA1,Destination_SA2,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight
134,0,0,0,0,0,0,collapsed_135_134_4939,4939,730.181413966676,collapsed_189050_134_189051,189051,432.0217447979546,collapsed_13837_226_134,226,905.2359583571341,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,0,0,0,0,0,4709558,140,0.0,4709558_rev,140,0.0,collapsed_75794_140_133225,133225,187.02002917123767,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,0,0,0,0,0,4709561,144,20.123818049399976,collapsed_96252_143_46,46,324.8911475814456,1054956699_rev,133225,38.60511414132923,1054956704_rev,133226,10.992882519494,,,,,,,,,,,,,,,,,,,,,,,,
144,0,0,0,0,0,0,4709561_rev,143,20.123818049399976,25757887,14729,9.140261733619683,25757890,14731,31.719839698824256,1054956707_rev,133223,28.963005138078806,,,,,,,,,,,,,,,,,,,,,,,,
145,0,0,0,0,0,0,4709572,146,14.591301708456205,collapsed_75869_14084_145,14084,257.01574704282837,collapsed_14058_14057_145,14057,36.40039828456513,collapsed_22970_145_1176,1176,898.1626482722568,,,,,,,,,,,,,,,,,,,,,,,,
146,0,0,0,0,0,0,4709572_rev,145,14.591301708456205,25448505,14059,26.408292805442194,collapsed_75868_146_14103,14103,31.96245360420027,680258117,14057,32.55578194454256,,,,,,,,,,,,,,,,,,,,,,,,
153,0,0,0,0,0,0,4709621,154,217.8637325803715,782395450,5080,14.464291028053564,collapsed_145485_153_1526,1526,249.24382693770642,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,0,0,0,0,0,4709621_rev,153,217.8637325803715,12535027,4882,230.677266361366,collapsed_1324_154_1327,1327,1464.813101415941,1370084475_rev,4883,11.82470198143213,,,,,,,,,,,,,,,,,,,,,,,,
168,1,0,20804119539,208041195,0,0,collapsed_167_168_89545,89545,28.129578936833266,679981467,89544,1.9348099183287715,collapsed_89546_89547_168,89547,36.83707532617343,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0,0,0,0,0,0,collapsed_32742_177_22593,22593,1079.2888552350141,collapsed_86217_177_93657,93657,162.17323090265833,collapsed_91431_91432_177,91432,203.14856374142562,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0,0,0,0,0,0,collapsed_28041_64_187,64,883.5050192837784,collapsed_143560_19006_187,19006,451.68064322146586,collapsed_61093_41144_187,41144,357.73235442350756,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0,0,0,0,0,0,collapsed_15010_15011_190,15011,921.0713597385749,1244785710,15081,23.152610926890638,1256921257,58824,7.119824443194641,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,1,20703116404,207031164,21104127036,211041270,collapsed_58820_71340_191,71340,2790.0940121957974,collapsed_28698_15122_191,15122,843.8919769551735,collapsed_1906_191_58825,58825,928.6622941187014,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0,0,0,0,0,0,4716052,204,13.523871729237966,144987848_rev,44720,34.56330043418831,160724020_rev,53887,28.504110196659976,collapsed_94858_4955_203,4955,210.43382605628625,,,,,,,,,,,,,,,,,,,,,,,,
204,0,0,0,0,0,0,4716052_rev,203,13.523871729237966,1109937560,50402,18.61728556371225,1109937561_rev,53887,35.11428594635768,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,0,21205132427,212051324,0,0,4716132,214,18.577932838545113,466906892,77522,17.556612290919237,collapsed_77519_213_1328,1328,30.768189812408565,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0,0,0,0,0,0,4716132_rev,213,18.577932838545113,542177575,81639,277.2619348797834,1102309069_rev,77522,15.477101863925343,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0,0,0,0,0,0,collapsed_225_221_27667,27667,428.7481677546557,collapsed_28013_27662_221,27662,152.6326187358267,30637739_rev,20777,46.272795124776785,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1,0,20802118003,208021180,0,0,collapsed_227_226_27985,27985,330.06707294298224,collapsed_13837_226_134,134,905.2359583571341,1156516641,28006,118.35032610140347,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,0,0,0,0,0,0,collapsed_163101_241_47018,47018,52.73528540231527,_rev,47017,19.125606219387564,collapsed_47013_241_44503,44503,758.5492311185202,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0,0,0,0,0,0,collapsed_1206_252_48795,48795,268.91997594864455,collapsed_189754_95618_252,95618,190.38255583031275,collapsed_59384_252_839,839,207.03692144372832,collapsed_81243_252_5562,5562,134.41664024553776,991940141_rev,60742,132.17021371787484,,,,,,,,,,,,,,,,,,,,,
258,0,0,0,0,0,0,collapsed_259_258_43589,43589,53.80411047959292,61511990_rev,43595,31.343356052571792,collapsed_58724_58723_258,58723,172.73071681644853,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,0,0,0,0,0,0,collapsed_103355_93781_262,93781,95.68511361294635,198006960_rev,58329,19.734078085035502,255757261,67926,34.28016364272706,collapsed_91989_77453_262,77453,232.12849467924707,,,,,,,,,,,,,,,,,,,,,,,,
264,0,0,0,0,0,0,4745063,265,113.15621933138007,4745157,268,190.8085290571757,collapsed_101731_264_38440,38440,146.29521422137424,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0,0,0,0,0,0,4745063_rev,264,113.15621933138007,collapsed_510_265_38440,38440,209.6344557737327,1023485380,266,51.238973167716395,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0,0,0,0,0,0,collapsed_267_266_19383,19383,359.82065675175295,111667577_rev,47970,191.5098527624041,111667584,47970,191.5098527624041,958539532_rev,49160,3.547995573879641,1023485380_rev,265,51.238973167716395,,,,,,,,,,,,,,,,,,,,,
268,0,0,0,0,0,0,4745157_rev,264,190.8085290571757,201742277,59361,145.04382369574,collapsed_5061_47991_268,47991,160.62882843897592,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,0,0,0,0,0,0,collapsed_38444_272_59361,59361,326.4459030649768,25966215,15162,271.5609833264713,collapsed_90668_272_76484,76484,337.22585535574297,,,,,,,,,,,,,,,,,,,,,,,,,,,
