ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748079,lane,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748208,,,,60,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748276,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748277,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748278,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748279,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749324,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749326,no,no,no,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749330,no,,,60,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749338,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749344,no,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749347,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749348,no,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749351,no,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749356,no,,,30,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749357,no,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749363,no,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749366,no,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749367,no,,,30,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749368,no,,,70,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749369,no,,,30,1,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
